OG_ID	gene_name	short_gene_name	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Kidney	de_Kidney
OG_0004802	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004803	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004811	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004838	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004840	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004843	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004847	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004881	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004882	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004892	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004936	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004996	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005027	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005028	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005119	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005127	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005143	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005145	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005159	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005160	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005195	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005208	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005219	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005237	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005310	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005328	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0005340	CCNA2	XM_002187960.7.325	TRUE	1	0	FALSE	TRUE	1
OG_0005350	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0005366	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005403	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005404	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005407	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005432	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005444	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005465	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005474	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005490	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005541	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005562	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005567	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005600	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005602	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005688	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005689	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005699	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005700	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005767	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005771	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005774	CIAO1	XM_041720517.2.1858	TRUE	1	0	FALSE	TRUE	1
OG_0005789	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005832	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005835	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005848	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005886	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005917	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005945	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005988	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006087	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006091	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006107	NA	NA	FALSE	0	0	FALSE	TRUE	1
