"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Kidney","OG_0003156",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","REV3L","parsed_from_gene_id"
"Kidney","OG_0003201",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","C1R","taeGut_geneID"
"Kidney","OG_0003243",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","DDX18","taeGut_geneID"
"Kidney","OG_0003268",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","CHST11","taeGut_geneID"
"Kidney","OG_0003280",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","FOXO3","taeGut_geneID"
"Kidney","OG_0003313",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","EMILIN2","galGal_geneID"
"Kidney","OG_0003343",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","DAGLA","taeGut_geneID"
"Kidney","OG_0003379",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","USP8","taeGut_geneID"
"Kidney","OG_0003417",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","TMOD3","parsed_from_gene_id"
"Kidney","OG_0003436",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","TRMT10C","parsed_from_gene_id"
"Kidney","OG_0003473",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","EEF1A2","taeGut_geneID"
"Kidney","OG_0003478",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","OAT","taeGut_geneID"
"Kidney","OG_0003489",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","TSC22D3","taeGut_geneID"
"Kidney","OG_0003585",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","USF3","taeGut_geneID"
"Kidney","OG_0003592",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","MICALL1","taeGut_geneID"
"Kidney","OG_0003659",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","XPO1","taeGut_geneID"
"Kidney","OG_0003667",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","abcb6","parsed_from_gene_id"
"Kidney","OG_0003696",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","ANKRD10","taeGut_geneID"
"Kidney","OG_0003700",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","NCOA4","taeGut_geneID"
"Kidney","OG_0003724",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","BLTP2","taeGut_geneID"
"Kidney","OG_0003729",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","PPIL4","taeGut_geneID"
"Kidney","OG_0003734",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","PPIE","taeGut_geneID"
