OG	sakCan01_Brain	sakCan01_Heart	sakCan01_Kidney	sakCan01_Liver	sakCan01_Muscle	sakCan02_Brain	sakCan02_Kidney	sakCan02_Liver	sakCan02_Muscle	sakCan03_Brain	sakCan03_Heart	sakCan03_Kidney	sakCan03_Liver	sakCan03_Muscle	sakCan04_Heart
OG_0028019	2952.938	649.748	576.616	0.0	198.936	0.0	0.0	0.0	0.0	1068.693	1191.086	700.007	175.386	0.0	1559.706
OG_0028020	0.0	133.575	0.0	5.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.215	0.0	0.0	0.0	0.0
OG_0028025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028033	327.038	181.384	535.779	33.584	195.054	0.0	79.301	128.307	226.456	159.105	214.071	403.962	227.706	23.691	408.929
OG_0028036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028040	895.22	0.0	11.198	0.0	0.0	192.405	0.0	0.0	0.0	383.619	0.0	0.0	0.0	0.0	0.0
OG_0028051	519.936	35.284	280.639	437.0	172.0	892.991	502.135	542.761	0.0	613.156	166.497	512.348	225.442	0.0	217.982
OG_0028052	0.0	7.186	0.0	0.0	0.0	0.0	13.467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028055	3765.286	17.274	728.865	272.114	22.758	7024.437	0.0	0.0	293.034	6964.154	376.0	136.678	229.92600000000002	207.766	111.824
OG_0028056	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028058	1191.89	1737.495	19027.066	141.865	1585.514	0.0	36643.228	2694.744	2415.447	468.421	2890.395	24221.621	1928.3	336.212	6071.126
OG_0028061	0.0	0.0	294.765	0.0	899.959	570.615	0.0	0.0	0.0	0.0	344.071	267.316	0.0	121.58	591.173
OG_0028063	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028066	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028081	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0
OG_0028082	2.133	0.0	3.028	0.0	0.0	0.0	0.0	0.0	3.054	0.944	0.0	1.578	0.0	0.0	1.859
OG_0028083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028084	0.0	1.0	5.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	3.0	2.0	3.0	1.0	5.0
OG_0028085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.639	0.0	0.0	0.0	11.504
OG_0028088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
OG_0028091	1.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028099	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OG_0028103	2.091	24.751	1.0	0.0	35.014	1.725	2.0	0.0	13.734	3.33	9.785	2.084	0.0	33.135	8.607
OG_0028106	0.0	0.0	16.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
OG_0028107	8.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	10.0	0.0	0.0	6.0	0.0	2.0
OG_0028108	8.655	4.825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.489	0.0	0.0	0.0	0.0	3.513
OG_0028111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028115	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0
OG_0028116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028117	1.822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
OG_0028118	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028121	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OG_0028136	26.61	2.353	10.066	2.448	1.0	96.593	9.822	1.0	0.0	39.215	3.0	9.842	4.771	0.0	6.0
OG_0028141	16.338	3.296	36.493	6.254	2.567	8.706	56.471	8.398	3.552	11.356	0.0	42.747	0.0	1.937	8.092
OG_0028145	29.0	14.0	17.0	14.0	14.0	44.0	28.0	77.0	15.0	32.0	17.0	15.0	16.0	0.0	12.0
OG_0028151	0.0	0.0	5.428	0.0	0.0	6.979	0.0	30.049	0.0	12.063	0.0	11.204	0.0	0.0	29.058
OG_0028156	1507.646	702.209	941.708	1027.115	661.824	5993.483	1172.928	994.927	355.483	1723.412	1155.962	1036.893	1017.699	337.594	1107.562
OG_0028157	12.24	42.755	27.981	86.588	33.947	0.0	66.546	90.023	19.478	0.0	28.231	39.141	31.203	32.101	20.877
OG_0028254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028297	6349.048	55.0	258.0	25.0	56.0	6494.0	177.0	54.0	78.0	5006.0	50.0	202.0	49.0	18.0	70.0
OG_0028449	0.0	10.662	0.0	0.0	0.0	0.0	0.0	14.566	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028597	812.0	21356.0	16340.0	125684.0	32038.0	1506.0	41750.0	266386.0	23308.0	892.0	26570.0	12434.0	118342.0	10248.0	29414.0
OG_0028646	10.626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028777	1292.0	172.0	942.0	621.0	101.0	1204.0	1141.753	1909.0	102.0	834.0	251.0	719.0	565.0	49.0	314.0
OG_0028781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028823	14.229	20.267	0.0	64.761	15.124	0.0	0.0	0.0	43.582	102.739	196.031	178.779	345.906	20.706	85.114
OG_0028827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.273	0.0	0.0	0.0	1.775
OG_0028840	231.174	202.764	303.834	122.813	148.312	183.447	176.264	40.657	87.526	131.388	31.45	215.485	102.972	42.878	113.169
OG_0028842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028843	0.0	0.0	201.453	0.0	0.0	0.0	143.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028846	0.0	46.502	0.0	0.0	41.375	0.0	0.0	0.0	0.0	0.0	155.694	0.0	0.0	0.0	55.679
OG_0028847	158.679	166.107	355.011	277.073	123.816	79.522	166.304	209.076	189.817	129.543	654.76	700.959	719.262	190.178	318.435
OG_0028848	1754.417	2.535	8.728	20.569000000000003	0.0	10.637	56.726	0.0	2.0	0.0	3.0	114.138	11.608	0.0	3.0
OG_0028849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028850	110.105	17.865	20.451999999999998	25.931	5.219	93.965	0.0	8.039	0.0	74.445	0.0	9.857	10.795	42.183	34.24
OG_0028853	196.0	495.0	213.0	89.0	1396.0	249.0	136.0	171.0	601.0	199.0	264.0	228.0	140.0	290.0	694.042
OG_0028854	36.27	0.0	116.567	69.046	75.248	21.0	52.253	63.0	0.0	8.216	72.195	41.12	0.0	36.0	0.0
OG_0028855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.652	9.031	65.153	0.0	21.058	15.446	0.0	0.0
OG_0028865	2128.1710000000003	1080.99	1691.3	477.727	670.495	3003.277	2242.0	184.0	536.073	2917.579	4181.705	2302.995	500.0	507.0	1945.996
OG_0028866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028869	0.0	0.0	197.868	0.0	197.62	0.0	0.0	0.0	0.0	133.085	0.0	0.0	101.461	0.0	294.521
OG_0028870	542.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	571.894	0.0	0.0	0.0	0.0	1001.443
