"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Brain","OG_0003540",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","DLG5","parsed_from_gene_id"
"Brain","OG_0003585",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","USF3","taeGut_geneID"
"Brain","OG_0003624",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","DCUN1D3","taeGut_geneID"
"Brain","OG_0003755",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","VPS33A","taeGut_geneID"
"Brain","OG_0003764",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","Etv5","parsed_from_gene_id"
"Brain","OG_0003806",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SLC30A1","taeGut_geneID"
"Brain","OG_0003830",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SELENOI","taeGut_geneID"
"Brain","OG_0004024",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","RBM15B","taeGut_geneID"
"Brain","OG_0004094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","DUSP5","taeGut_geneID"
"Brain","OG_0004107",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","RAPGEF4","taeGut_geneID"
"Brain","OG_0004130",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ACAA2","taeGut_geneID"
"Brain","OG_0004153",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PCDH17","taeGut_geneID"
"Brain","OG_0004166",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MXRA5","taeGut_geneID"
"Brain","OG_0004169",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC100223706","taeGut_geneID"
"Brain","OG_0004175",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","DYNC1LI1","taeGut_geneID"
"Brain","OG_0004181",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","EWSR1","galGal_geneID"
"Brain","OG_0004255",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","GAREM2","taeGut_geneID"
