"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Heart","OG_0004676",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","STT3A","taeGut_geneID"
"Heart","OG_0004756",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FZR1","taeGut_geneID"
"Heart","OG_0004802",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","PCGF3","taeGut_geneID"
"Heart","OG_0004827",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TFPI","galGal_geneID"
"Heart","OG_0004842",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","BACH2","taeGut_geneID"
"Heart","OG_0004872",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","USP13","taeGut_geneID"
"Heart","OG_0004888",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","stringtie_mRNA_42881","parsed_from_gene_id"
"Heart","OG_0004931",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","USP24","parsed_from_gene_id"
"Heart","OG_0004977",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","YTHDF1","taeGut_geneID"
"Heart","OG_0005160",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","LRP12","taeGut_geneID"
"Heart","OG_0005168",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC100221772","taeGut_geneID"
"Heart","OG_0005192",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","GOLGA3","taeGut_geneID"
"Heart","OG_0005263",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CNTNAP1","taeGut_geneID"
"Heart","OG_0005491",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","RASSF8","taeGut_geneID"
"Heart","OG_0005576",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ATP8A2","parsed_from_gene_id"
"Heart","OG_0005775",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SKIC8","taeGut_geneID"
"Heart","OG_0005860",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","NME2","taeGut_geneID"
"Heart","OG_0005890",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","GATA5","taeGut_geneID"
"Heart","OG_0006136",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","MCCC1","taeGut_geneID"
"Heart","OG_0006140",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","UAP1","taeGut_geneID"
"Heart","OG_0006162",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ZDHHC3","taeGut_geneID"
"Heart","OG_0006201",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SETBP1","parsed_from_gene_id"
"Heart","OG_0006383",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","LAMA4","taeGut_geneID"
"Heart","OG_0006662",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","VDAC3","taeGut_geneID"
"Heart","OG_0006703",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","COL16A1","taeGut_geneID"
"Heart","OG_0006744",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","YWHAE","taeGut_geneID"
"Heart","OG_0006745",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","YWHAE","taeGut_geneID"
"Heart","OG_0006748",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","YWHAH","taeGut_geneID"
"Heart","OG_0006774",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","KANK4","taeGut_geneID"
"Heart","OG_0006782",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","NPEPPS","taeGut_geneID"
"Heart","OG_0006816",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100219050","taeGut_geneID"
"Heart","OG_0006819",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","LOC100231534","taeGut_geneID"
"Heart","OG_0006821",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LOC100228653","taeGut_geneID"
"Heart","OG_0006925",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","UQCRC2","taeGut_geneID"
"Heart","OG_0006926",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PMPCA","taeGut_geneID"
"Heart","OG_0006943",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RARS1","taeGut_geneID"
"Heart","OG_0007051",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","LOC100226687","taeGut_geneID"
"Heart","OG_0007067",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CDCA7","taeGut_geneID"
"Heart","OG_0007079",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ZBTB1","taeGut_geneID"
"Heart","OG_0007128",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","EIF4G2","taeGut_geneID"
"Heart","OG_0007133",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","MDH2","taeGut_geneID"
"Heart","OG_0007137",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","LDHB","taeGut_geneID"
"Heart","OG_0007175",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PDHA1","taeGut_geneID"
"Heart","OG_0007290",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","MTO1","taeGut_geneID"
"Heart","OG_0007292",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","NT5C1B","taeGut_geneID"
"Heart","OG_0007414",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","GOLGA4","taeGut_geneID"
"Heart","OG_0007519",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","XPO6","taeGut_geneID"
"Heart","OG_0007600",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ABTB2","taeGut_geneID"
"Heart","OG_0007604",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FEM1C","taeGut_geneID"
"Heart","OG_0007701",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RSF1","taeGut_geneID"
"Heart","OG_0007715",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","DDX1","taeGut_geneID"
"Heart","OG_0007725",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CASC3","taeGut_geneID"
"Heart","OG_0007728",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","VPS37A","galGal_geneID"
"Heart","OG_0007756",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","GAS6","taeGut_geneID"
"Heart","OG_0007812",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC100222277","taeGut_geneID"
"Heart","OG_0007877",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LOC100231426","taeGut_geneID"
"Heart","OG_0007882",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","VIM","taeGut_geneID"
"Heart","OG_0007905",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","MYL2","taeGut_geneID"
"Heart","OG_0007906",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MYL9","taeGut_geneID"
"Heart","OG_0007918",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FAM120A","taeGut_geneID"
"Heart","OG_0007921",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","TNKS","parsed_from_gene_id"
"Heart","OG_0007922",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SLC46A1","taeGut_geneID"
"Heart","OG_0008002",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","LANCL3","taeGut_geneID"
"Heart","OG_0008011",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FBXL5","taeGut_geneID"
"Heart","OG_0008037",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","LONP1","taeGut_geneID"
"Heart","OG_0008064",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PDGFRA","taeGut_geneID"
"Heart","OG_0008065",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PDGFRB","taeGut_geneID"
"Heart","OG_0008067",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CSF1R","taeGut_geneID"
"Heart","OG_0008069",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FLT1","parsed_from_gene_id"
"Heart","OG_0008108",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","BSG","taeGut_geneID"
"Heart","OG_0008110",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","stringtie_mRNA_48726","parsed_from_gene_id"
"Heart","OG_0008159",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RAD9A","taeGut_geneID"
"Heart","OG_0008237",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ARHGAP31","taeGut_geneID"
"Heart","OG_0008375",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ZRANB1","taeGut_geneID"
"Heart","OG_0008405",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TRMT2A","taeGut_geneID"
"Heart","OG_0008482",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","WDR44","taeGut_geneID"
"Heart","OG_0008497",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RALA","taeGut_geneID"
"Heart","OG_0008540",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","NADK","taeGut_geneID"
"Heart","OG_0008547",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RNFT1","parsed_from_gene_id"
"Heart","OG_0008595",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TBX2","taeGut_geneID"
"Heart","OG_0008632",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","RNF139","taeGut_geneID"
"Heart","OG_0008724",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","INTS13","taeGut_geneID"
"Heart","OG_0008778",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","CAPRIN1","taeGut_geneID"
"Heart","OG_0008802",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PTPN23","taeGut_geneID"
"Heart","OG_0008863",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","AKAP1","taeGut_geneID"
"Heart","OG_0008933",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","IRF2BP2","taeGut_geneID"
"Heart","OG_0008967",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SGPP1","taeGut_geneID"
"Heart","OG_0009005",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PIM3","taeGut_geneID"
"Heart","OG_0009047",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PPM1F","taeGut_geneID"
"Heart","OG_0009049",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","stringtie_mRNA_60230","parsed_from_gene_id"
"Heart","OG_0009106",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","XPO4","taeGut_geneID"
"Heart","OG_0009167",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","IRF5","taeGut_geneID"
"Heart","OG_0009226",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CAB39","taeGut_geneID"
"Heart","OG_0009232",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","NUB1","taeGut_geneID"
"Heart","OG_0009280",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","GJC2","taeGut_geneID"
"Heart","OG_0009423",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","BTG1","taeGut_geneID"
"Heart","OG_0009424",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","BTG2","taeGut_geneID"
"Heart","OG_0009439",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","HHIPL1","taeGut_geneID"
"Heart","OG_0009477",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RRAGC","taeGut_geneID"
"Heart","OG_0009515",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","PRDX1","taeGut_geneID"
"Heart","OG_0009547",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","MISP","taeGut_geneID"
"Heart","OG_0009565",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","SOX9","taeGut_geneID"
"Heart","OG_0009614",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","SYNGR2","taeGut_geneID"
"Heart","OG_0009690",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","ETS1","galGal_geneID"
"Heart","OG_0009747",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MYBBP1A","taeGut_geneID"
"Heart","OG_0009755",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","YPEL5","taeGut_geneID"
"Heart","OG_0009782",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC105759175","taeGut_geneID"
"Heart","OG_0009838",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ZC4H2","taeGut_geneID"
"Heart","OG_0009935",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","IL6ST","taeGut_geneID"
"Heart","OG_0009937",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","TMEM201","taeGut_geneID"
"Heart","OG_0010008",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","XPR1","taeGut_geneID"
"Heart","OG_0010154",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SHLD2","taeGut_geneID"
"Heart","OG_0010208",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MED16","taeGut_geneID"
"Heart","OG_0010343",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MYOT","taeGut_geneID"
"Heart","OG_0010355",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PPIG","taeGut_geneID"
"Heart","OG_0010384",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SQSTM1","taeGut_geneID"
"Heart","OG_0010434",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","stringtie_mRNA_4672","parsed_from_gene_id"
"Heart","OG_0010443",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MMUT","taeGut_geneID"
"Heart","OG_0010532",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TENT2","taeGut_geneID"
"Heart","OG_0010555",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","STAM","taeGut_geneID"
"Heart","OG_0010557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","STAM2","taeGut_geneID"
"Heart","OG_0010617",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","AOAH","taeGut_geneID"
"Heart","OG_0010644",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FNDC1","taeGut_geneID"
"Heart","OG_0010645",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FEZ1","taeGut_geneID"
"Heart","OG_0010648",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PAG1","taeGut_geneID"
"Heart","OG_0010713",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","EHD4","taeGut_geneID"
"Heart","OG_0010809",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FAM168B","taeGut_geneID"
"Heart","OG_0010849",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","VWF","parsed_from_gene_id"
"Heart","OG_0010908",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SCD","taeGut_geneID"
