"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Liver","OG_0011339",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FAM171B","taeGut_geneID"
"Liver","OG_0011518",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PCYOX1","taeGut_geneID"
"Liver","OG_0011751",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TRIM14","taeGut_geneID"
"Liver","OG_0011755",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","KLF4","taeGut_geneID"
"Liver","OG_0011823",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","IMPA1","taeGut_geneID"
"Liver","OG_0011847",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","RETSAT","taeGut_geneID"
"Liver","OG_0011849",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ARPC1A","taeGut_geneID"
"Liver","OG_0011850",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ARPC1B","taeGut_geneID"
"Liver","OG_0011915",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CEBPA","parsed_from_gene_id"
"Liver","OG_0011916",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CEBPD","taeGut_geneID"
"Liver","OG_0011917",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CEBPB","taeGut_geneID"
"Liver","OG_0012161",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","VCPIP1","taeGut_geneID"
"Liver","OG_0012267",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","C5H11orf24","taeGut_geneID"
"Liver","OG_0012476",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100220586","taeGut_geneID"
"Liver","OG_0012533",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","NUDC","taeGut_geneID"
"Liver","OG_0012568",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ASS1","taeGut_geneID"
"Liver","OG_0012636",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TAF3","taeGut_geneID"
"Liver","OG_0012859",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RALBP1","galGal_geneID"
"Liver","OG_0013000",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","stringtie_mRNA_20529","parsed_from_gene_id"
"Liver","OG_0013080",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PSMD14","taeGut_geneID"
"Liver","OG_0013170",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","EGR1","taeGut_geneID"
"Liver","OG_0013247",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ARHGDIA","taeGut_geneID"
"Liver","OG_0013594",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LAPTM4B","taeGut_geneID"
"Liver","OG_0013597",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MPHOSPH8","taeGut_geneID"
"Liver","OG_0013631",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SLC35G1","taeGut_geneID"
"Liver","OG_0013698",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","EPB42","taeGut_geneID"
"Liver","OG_0013892",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LRATD1","taeGut_geneID"
"Liver","OG_0014081",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","HES4","taeGut_geneID"
"Liver","OG_0014225",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","SLC25A29","taeGut_geneID"
"Liver","OG_0014283",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PLEKHO1","taeGut_geneID"
"Liver","OG_0014337",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","NUCB2","taeGut_geneID"
"Liver","OG_0014366",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","YIPF1","taeGut_geneID"
"Liver","OG_0014507",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC115494951","taeGut_geneID"
"Liver","OG_0014794",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MEMO1","galGal_geneID"
"Liver","OG_0014997",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","AGMAT","galGal_geneID"
"Liver","OG_0015058",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","GPRIN2","taeGut_geneID"
"Liver","OG_0015090",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ATF6","taeGut_geneID"
"Liver","OG_0015099",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ZFP36L1","taeGut_geneID"
"Liver","OG_0015512",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","TBRG4","taeGut_geneID"
"Liver","OG_0015586",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MCM2","taeGut_geneID"
"Liver","OG_0015730",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","TCN2","taeGut_geneID"
"Liver","OG_0015860",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","NDUFS6","taeGut_geneID"
"Liver","OG_0015915",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TRIM25","taeGut_geneID"
"Liver","OG_0015944",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FBXO22","taeGut_geneID"
"Liver","OG_0016019",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","EEF2","taeGut_geneID"
"Liver","OG_0016304",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CCDC127","taeGut_geneID"
"Liver","OG_0016317",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","IKZF5","taeGut_geneID"
"Liver","OG_0016467",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","HBEGF","taeGut_geneID"
"Liver","OG_0016513",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","IFI35","taeGut_geneID"
"Liver","OG_0016550",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","GPX1","taeGut_geneID"
"Liver","OG_0016551",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","GPX4","taeGut_geneID"
"Liver","OG_0016563",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","UGCG","taeGut_geneID"
"Liver","OG_0016722",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CITED4","taeGut_geneID"
"Liver","OG_0016754",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","C1GALT1C1","taeGut_geneID"
"Liver","OG_0016833",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","GLUD1","taeGut_geneID"
"Liver","OG_0016858",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PSAT1","taeGut_geneID"
"Liver","OG_0016909",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LOC115498199","taeGut_geneID"
"Liver","OG_0016947",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC101233925","taeGut_geneID"
"Liver","OG_0016988",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","AAGAB","taeGut_geneID"
"Liver","OG_0017076",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","stringtie_mRNA_41131","parsed_from_gene_id"
"Liver","OG_0017181",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100224825","taeGut_geneID"
"Liver","OG_0017253",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","THUMPD3","taeGut_geneID"
"Liver","OG_0017284",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MPEG1","taeGut_geneID"
"Liver","OG_0017391",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","C5H15orf62","taeGut_geneID"
"Liver","OG_0017503",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MRPL2","taeGut_geneID"
"Liver","OG_0017581",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FKBP3","taeGut_geneID"
"Liver","OG_0017712",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CLDN11","taeGut_geneID"
"Liver","OG_0017762",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","NPM3","galGal_geneID"
"Liver","OG_0017772",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MIX23","taeGut_geneID"
"Liver","OG_0017804",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PSMG4","taeGut_geneID"
"Liver","OG_0017806",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","EMC6","taeGut_geneID"
"Liver","OG_0017808",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RWDD1","taeGut_geneID"
"Liver","OG_0018003",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC100226213","taeGut_geneID"
"Liver","OG_0018042",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TMEM37","taeGut_geneID"
"Liver","OG_0018098",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","NOPCHAP1","taeGut_geneID"
"Liver","OG_0018107",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","C1QBP","galGal_geneID"
"Liver","OG_0018146",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RPL5","taeGut_geneID"
"Liver","OG_0018154",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SRXN1","taeGut_geneID"
"Liver","OG_0018371",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","TRIM8","taeGut_geneID"
"Liver","OG_0018425",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TRAF4","taeGut_geneID"
"Liver","OG_0018549",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ZHX2","taeGut_geneID"
"Liver","OG_0018577",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","PNRC1","taeGut_geneID"
"Liver","OG_0018579",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","IL7R","taeGut_geneID"
"Liver","OG_0018604",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ILDR1","taeGut_geneID"
"Liver","OG_0018647",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ZBTB14","taeGut_geneID"
"Liver","OG_0018661",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RAB11FIP2","taeGut_geneID"
"Liver","OG_0018711",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ATP6V0B","taeGut_geneID"
"Liver","OG_0018756",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MT","parsed_from_gene_id"
"Liver","OG_0018969",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","HDHD3","taeGut_geneID"
"Liver","OG_0019301",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FAM204A","taeGut_geneID"
"Liver","OG_0019477",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","COLEC10","taeGut_geneID"
"Liver","OG_0019479",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","DIO3","taeGut_geneID"
"Liver","OG_0019487",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FAM185A","taeGut_geneID"
"Liver","OG_0019540",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","GOLT1B","taeGut_geneID"
"Liver","OG_0019650",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","TCF21","taeGut_geneID"
"Liver","OG_0019736",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ATP5PF","taeGut_geneID"
"Liver","OG_0019739",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MMACHC","taeGut_geneID"
"Liver","OG_0019988",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","RGS9BP","taeGut_geneID"
"Liver","OG_0019998",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CMPK2","taeGut_geneID"
"Liver","OG_0020216",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","OTUD1","taeGut_geneID"
"Liver","OG_0020571",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC116808484","taeGut_geneID"
"Liver","OG_0020581",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CISD1","taeGut_geneID"
"Liver","OG_0020690",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","VKORC1L1","taeGut_geneID"
"Liver","OG_0020733",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MAPKAP1","parsed_from_gene_id"
"Liver","OG_0020799",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PDCD7","taeGut_geneID"
"Liver","OG_0020859",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FGG","taeGut_geneID"
"Liver","OG_0020897",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","NFKBIE","taeGut_geneID"
"Liver","OG_0021222",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RSAD2","taeGut_geneID"
